Digisol-DG-HR3400-300Mbps-Wireless-Broadband:
Amazon Customer,26 June 2017,Amazon,This is the best quality Wireless Router. In my house i can access from 2nd floor to ground floor.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Abhisek Patel,5 October 2016,Amazon,Wrong product received. The model number was same but The item is smaller and not like as shown in the picture.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
A S Darani,4 April 2019,Amazon,Very good product... And nice working.... Must buy this product..,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Aloke Sen,6 August 2016,Amazon,Thank you for everything!,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
ANIMESH GHORUI,24 August 2017,Amazon,Easy to install and start quick.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Frank DSouza,7 December 2016,Amazon,Best router at 825/-.setup is easy...range is good..,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
S Vasudev,14 September 2018,Amazon,Lifetime warranty,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,10 February 2017,Amazon,easy to use & easy to setup good quality product,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Manish Sharma,20 October 2017,Amazon,best of all ....mast hai range,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
SAURABH YADAV,24 September 2017,Amazon,Using this for around a year. Perfect. Does what it needs to do.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
SANJAY KUMAR SINGH,25 October 2016,Amazon,good router and working fine,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Narendra,22 April 2018,Amazon,Good..,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,22 October 2018,Amazon,the photo provided is the photo of other router,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Y,6 January 2017,Amazon,Great product,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
keyur,20 January 2017,Amazon,i received wrong one not same as picture,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
ANURAG PAUL DANI,27 December 2016,Amazon,It is a nice product. One can easily go blindly for it.Worth buying at this price.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,25 July 2016,Amazon,I receive wrong product  it was totally different Wt they shown in pictures and router size also too small ,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Manish Sharma,13 October 2018,Amazon,Awesome things,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amar,22 June 2018,Amazon,Wrong images show and delivered another,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
akash,24 November 2016,Amazon,Worth to buy.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
RANJIT NARAYAN,25 January 2019,Amazon,good product,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Hrct Diyora,2 June 2016,Amazon,Stupid Device.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Vincent Gomes,27 October 2017,Amazon,GOOD,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Krishna Chaitanya,29 August 2016,Amazon,Product us differentPicture shown is not productGot very small model instead,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
V V RAMANA MURTY,4 April 2017,Amazon,No issues since purchase. Thanks.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,27 September 2016,Amazon,good product.. range is satisfactory..,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
